Results:

Channel 1:
Segment 1:
Ep = 0.298V
ip = -5.690e-9A
Ah = -5.633e-9C

Segment 2:
Ep = 0.123V
ip = 5.238e-9A
Ah = 5.427e-9C

Potential/V	Current/A
0.184	-1.613e-10
0.183	-1.240e-10
0.182	-8.895e-11
0.181	-5.369e-11
0.180	-2.037e-11
0.179	1.159e-11
0.178	4.415e-11
0.177	7.316e-11
0.176	1.027e-10
0.175	1.307e-10
0.174	1.567e-10
0.173	1.829e-10
0.172	2.074e-10
0.171	2.316e-10
0.170	2.547e-10
0.169	2.760e-10
0.168	2.968e-10
0.167	3.161e-10
0.166	3.352e-10
0.165	3.539e-10
0.164	3.712e-10
0.163	3.880e-10
0.162	4.037e-10
0.161	4.188e-10
0.160	4.327e-10
0.159	4.463e-10
0.158	4.592e-10
0.157	4.711e-10
0.156	4.828e-10
0.155	4.936e-10
0.154	5.037e-10
0.153	5.137e-10
0.152	5.224e-10
0.151	5.317e-10
0.150	5.392e-10
0.149	5.469e-10
0.148	5.544e-10
0.147	5.603e-10
0.146	5.670e-10
0.145	5.728e-10
0.144	5.778e-10
0.143	5.835e-10
0.142	5.874e-10
0.141	5.920e-10
0.140	5.959e-10
0.139	5.994e-10
0.138	6.031e-10
0.137	6.055e-10
0.136	6.087e-10
0.135	6.114e-10
0.134	6.130e-10
0.133	6.154e-10
0.132	6.169e-10
0.131	6.186e-10
0.130	6.198e-10
0.129	6.208e-10
0.128	6.222e-10
0.127	6.228e-10
0.126	6.233e-10
0.125	6.237e-10
0.124	6.239e-10
0.123	6.241e-10
0.122	6.240e-10
0.121	6.240e-10
0.120	6.236e-10
0.119	6.232e-10
0.118	6.229e-10
0.117	6.220e-10
0.116	6.219e-10
0.115	6.209e-10
0.114	6.203e-10
0.113	6.199e-10
0.112	6.183e-10
0.111	6.179e-10
0.110	6.162e-10
0.109	6.152e-10
0.108	6.144e-10
0.107	6.127e-10
0.106	6.121e-10
0.105	6.106e-10
0.104	6.091e-10
0.103	6.081e-10
0.102	6.060e-10
0.101	6.052e-10
0.100	6.036e-10
0.099	6.018e-10
0.098	6.007e-10
0.097	5.986e-10
0.096	5.977e-10
0.095	5.962e-10
0.094	5.944e-10
0.093	5.930e-10
0.092	5.911e-10
0.091	5.900e-10
0.090	5.886e-10
0.089	5.867e-10
0.088	5.855e-10
0.087	5.837e-10
0.086	5.821e-10
0.085	5.806e-10
0.084	5.790e-10
0.083	5.778e-10
0.082	5.759e-10
0.081	5.749e-10
0.080	5.731e-10
0.079	5.717e-10
0.078	5.705e-10
0.077	5.685e-10
0.076	5.677e-10
0.075	5.659e-10
0.074	5.643e-10
0.073	5.636e-10
0.072	5.618e-10
0.071	5.610e-10
0.070	5.594e-10
0.069	5.582e-10
0.068	5.574e-10
0.067	5.553e-10
0.066	5.545e-10
0.065	5.530e-10
0.064	5.518e-10
0.063	5.512e-10
0.062	5.492e-10
0.061	5.486e-10
0.060	5.474e-10
0.059	5.463e-10
0.058	5.460e-10
0.057	5.444e-10
0.056	5.439e-10
0.055	5.427e-10
0.054	5.415e-10
0.053	5.411e-10
0.052	5.398e-10
0.051	5.390e-10
0.050	5.383e-10
0.049	5.373e-10
0.048	5.368e-10
0.047	5.357e-10
0.046	5.353e-10
0.045	5.344e-10
0.044	5.338e-10
0.043	5.334e-10
0.042	5.324e-10
0.041	5.323e-10
0.040	5.315e-10
0.039	5.309e-10
0.038	5.305e-10
0.037	5.295e-10
0.036	5.299e-10
0.035	5.291e-10
0.034	5.286e-10
0.033	5.287e-10
0.032	5.278e-10
0.031	5.279e-10
0.030	5.274e-10
0.029	5.269e-10
0.028	5.271e-10
0.027	5.264e-10
0.026	5.267e-10
0.025	5.262e-10
0.024	5.259e-10
0.023	5.263e-10
0.022	5.256e-10
0.021	5.261e-10
0.020	5.260e-10
0.019	5.259e-10
0.018	5.261e-10
0.017	5.257e-10
0.016	5.263e-10
0.015	5.263e-10
0.014	5.265e-10
0.013	5.267e-10
0.012	5.264e-10
0.011	5.270e-10
0.010	5.272e-10
0.009	5.273e-10
0.008	5.280e-10
0.007	5.278e-10
0.006	5.286e-10
0.005	5.286e-10
0.004	5.290e-10
0.003	5.299e-10
0.002	5.299e-10
0.001	5.309e-10
