Distance/um	Current/A
527.814	-5.139e-9
528.814	-5.137e-9
529.814	-5.138e-9
530.814	-5.137e-9
531.814	-5.138e-9
532.814	-5.138e-9
533.814	-5.139e-9
534.814	-5.139e-9
535.814	-5.138e-9
536.814	-5.138e-9
537.814	-5.138e-9
538.814	-5.137e-9
539.814	-5.138e-9
540.814	-5.137e-9
541.814	-5.138e-9
542.814	-5.139e-9
543.814	-5.139e-9
544.814	-5.139e-9
545.814	-5.139e-9
546.814	-5.139e-9
547.814	-5.138e-9
548.814	-5.137e-9
549.814	-5.137e-9
550.814	-5.138e-9
551.814	-5.139e-9
552.814	-5.139e-9
553.814	-5.139e-9
554.814	-5.140e-9
555.814	-5.139e-9
556.814	-5.139e-9
557.814	-5.139e-9
558.814	-5.138e-9
559.814	-5.138e-9
560.814	-5.136e-9
561.813	-5.138e-9
562.813	-5.138e-9
563.813	-5.139e-9
564.813	-5.139e-9
565.813	-5.139e-9
566.813	-5.139e-9
567.813	-5.139e-9
568.813	-5.139e-9
569.813	-5.138e-9
570.813	-5.139e-9
571.813	-5.139e-9
572.813	-5.139e-9
573.813	-5.140e-9
574.813	-5.140e-9
575.813	-5.140e-9
576.813	-5.139e-9
577.813	-5.139e-9
578.813	-5.138e-9
579.813	-5.138e-9
580.813	-5.139e-9
581.813	-5.140e-9
582.813	-5.140e-9
583.813	-5.140e-9
584.813	-5.140e-9
585.813	-5.141e-9
586.813	-5.140e-9
587.813	-5.140e-9
588.813	-5.139e-9
589.813	-5.139e-9
590.813	-5.139e-9
591.813	-5.139e-9
592.813	-5.140e-9
593.813	-5.141e-9
594.813	-5.141e-9
595.813	-5.140e-9
596.813	-5.140e-9
597.813	-5.140e-9
598.813	-5.139e-9
599.813	-5.139e-9
600.813	-5.140e-9
601.813	-5.139e-9
602.813	-5.140e-9
603.813	-5.141e-9
604.813	-5.142e-9
605.813	-5.141e-9
606.813	-5.141e-9
607.813	-5.141e-9
608.813	-5.139e-9
609.813	-5.139e-9
610.813	-5.140e-9
611.813	-5.140e-9
612.813	-5.141e-9
613.813	-5.142e-9
614.813	-5.142e-9
615.813	-5.142e-9
616.813	-5.141e-9
617.813	-5.140e-9
618.813	-5.140e-9
619.813	-5.141e-9
620.813	-5.141e-9
621.813	-5.141e-9
622.813	-5.142e-9
623.813	-5.142e-9
624.813	-5.142e-9
625.813	-5.141e-9
626.813	-5.142e-9
627.813	-5.143e-9
628.813	-5.141e-9
629.813	-5.142e-9
630.813	-5.142e-9
631.813	-5.141e-9
632.813	-5.142e-9
633.813	-5.143e-9
634.813	-5.144e-9
635.813	-5.143e-9
636.813	-5.143e-9
637.813	-5.143e-9
638.813	-5.142e-9
639.813	-5.142e-9
640.813	-5.143e-9
641.813	-5.143e-9
642.813	-5.144e-9
643.813	-5.144e-9
644.813	-5.144e-9
645.813	-5.143e-9
646.813	-5.143e-9
647.813	-5.143e-9
648.813	-5.142e-9
649.813	-5.143e-9
650.813	-5.143e-9
651.813	-5.144e-9
652.813	-5.145e-9
653.813	-5.145e-9
654.813	-5.146e-9
655.813	-5.144e-9
656.813	-5.144e-9
657.813	-5.145e-9
658.813	-5.145e-9
659.813	-5.145e-9
660.813	-5.145e-9
661.813	-5.144e-9
662.813	-5.145e-9
663.813	-5.146e-9
664.813	-5.146e-9
665.813	-5.146e-9
666.813	-5.146e-9
667.813	-5.145e-9
668.813	-5.145e-9
669.813	-5.146e-9
670.813	-5.146e-9
671.813	-5.145e-9
672.813	-5.146e-9
673.813	-5.146e-9
674.813	-5.147e-9
675.813	-5.146e-9
676.813	-5.146e-9
677.813	-5.146e-9
678.813	-5.145e-9
679.813	-5.146e-9
680.813	-5.147e-9
681.813	-5.147e-9
682.813	-5.147e-9
683.813	-5.147e-9
684.813	-5.148e-9
685.813	-5.148e-9
686.813	-5.148e-9
687.813	-5.148e-9
688.813	-5.147e-9
689.813	-5.147e-9
690.813	-5.147e-9
691.813	-5.148e-9
692.813	-5.148e-9
693.813	-5.149e-9
694.813	-5.150e-9
695.813	-5.150e-9
696.813	-5.149e-9
697.813	-5.149e-9
698.813	-5.148e-9
699.813	-5.148e-9
700.813	-5.149e-9
701.813	-5.150e-9
702.813	-5.150e-9
703.813	-5.151e-9
704.813	-5.151e-9
705.813	-5.151e-9
706.813	-5.150e-9
707.813	-5.150e-9
708.813	-5.150e-9
709.813	-5.150e-9
710.813	-5.150e-9
711.813	-5.151e-9
712.813	-5.152e-9
713.813	-5.152e-9
714.813	-5.153e-9
715.813	-5.152e-9
716.813	-5.152e-9
717.813	-5.152e-9
718.813	-5.152e-9
719.813	-5.152e-9
720.813	-5.152e-9
721.813	-5.153e-9
722.813	-5.153e-9
723.813	-5.153e-9
724.813	-5.153e-9
725.813	-5.153e-9
726.813	-5.153e-9
727.813	-5.153e-9
728.813	-5.152e-9
729.813	-5.152e-9
730.813	-5.152e-9
731.813	-5.154e-9
732.813	-5.154e-9
733.813	-5.154e-9
734.813	-5.155e-9
735.813	-5.156e-9
736.813	-5.155e-9
737.813	-5.154e-9
738.813	-5.154e-9
739.813	-5.154e-9
740.813	-5.155e-9
741.813	-5.155e-9
742.813	-5.156e-9
743.813	-5.156e-9
